ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA;;
205;Av. Alfredo Balena, oposto ao 110;Detector de Avanço de Semáforo;60;Centro-Bairro;único;281;;POINT (612167.16 7796480.96);;
206;Av. Presidente Antônio Carlos, 1694;Detector de Avanço de Semáforo;60;Centro-Bairro;único;579;;POINT (610103.45 7799528.51);;
207;Av. Silva Lobo, 865 e oposto ao 865;Detector de Avanço de Semáforo;60;Bairro-Centro e Centro-Bairro;Ambos;580;;POINT (607617.74 7795764.66);;
208;Av. Risoleta Neves entre R. Santa Maria e Av. Saramenha;Detector de Avanço de Semáforo;60;Centro-Bairro;único;575;;POINT (613571.56 7805177.13);;
209;Av. Risoleta Neves entre Av. Saramenha e R. Santa Maria;Detector de Avanço de Semáforo;60;Bairro-Centro;único;576;;POINT (613543.29 7805203.28);;
353;Av. Presidente Carlos Luz entre Anel Rodoviário e Praça Pedro Mello;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;2200012;GCT012;POINT (607235.26 7801369.82);;
261;Av. Cristiano Machado esquina com R. Tamboril;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8968;;POINT (611365.74 7798697.11);;
262;"Av. Cristiano Machado esquina com R. Tamboril 
";Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8969;;POINT (611367.36 7798693.46);;
263;Av. Cristiano Machado esquina com R. Zaira de Paula;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8974;;POINT (612088.80 7800368.14);;
264;Av. Cristiano Machado esquina com R. Zaira de Paula;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8975;;POINT (612094.27 7800369.92);;
265;Av. Cristiano Machado, 1320 ;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8959;;POINT (612231.37 7799323.13);;
175;Av. do Contorno esquina com Av. Amazonas;Detector de Avanço de Semáforo;60;Barro Preto-Savassi;único;253;;POINT (609125.62 7796000.95);;
176;Av. do Contorno, 8995;Detector de Avanço de Semáforo;60;Barro Preto-Savassi;único;264;;POINT (609137.37 7795965.87);;
177;Av. Amazonas esquina com Av. Francisco Sá;Detector de Avanço de Semáforo;60;Centro-Bairro;único;255;;POINT (608867.05 7795936.27);;
178;Av. Amazonas esquina com Av. Francisco Sá;Detector de Avanço de Semáforo;60;Bairro-Centro;único;295;;POINT (608848.95 7795917.36);;
179;Av. Amazonas esquina com R. Olinda;Detector de Avanço de Semáforo;60;Bairro-Centro;único;284;;POINT (607433.41 7795932.16);;
180;Av. Amazonas esquina com R. Olinda e R. Olinda esquina com Av. Amazonas;Detector de Avanço de Semáforo;60;Bairro-Centro;único;279;;POINT (607431.92 7795921.46);;
181;Av. Amazonas esquina com R. Visconde de Cairú;Detector de Avanço de Semáforo;60;Bairro-Centro;único;597;;POINT (604069.01 7794208.54);;
182;Av. Amazonas, 8888;Detector de Avanço de Semáforo;60;Centro-Bairro;único;596;;POINT (604062.07 7794221.04);;
183;Av. do Contorno esquina com R. Paulo de Frontim;Detector de Avanço de Semáforo;60;Centro-Barro Preto;único;288;;POINT (610563.76 7797700.60);;
185;Av. do Contorno esquina com R. Paulo de Frontim;Detector de Avanço de Semáforo;60;Barro Preto-Centro;único;274;;POINT (610576.67 7797646.74);;
186;Av. do Contorno esquina com Av. Amazonas;Detector de Avanço de Semáforo;60;Savassi-Barro Preto;único;563;;POINT (609148.31 7795974.59);;
187;Av. dos Andradas esquina com R. dos Caetés;Detector de Avanço de Semáforo;60;Viaduto Jornalista Oswaldo Faria-Viaduto Santa Ter;único;273;;POINT (611501.79 7797320.07);;
188;Av. dos Andradas esquina com R. dos Tupinambás;Detector de Avanço de Semáforo;60;Viaduto Jornalista Oswaldo Faria-Viaduto Santa Ter;único;558;;POINT (611459.46 7797174.80);;
189;Av. dos Andradas esquina com R. dos Tupinambás;Detector de Avanço de Semáforo;60;Viaduto Santa Tereza-Viaduto Jornalista Oswaldo Fa;único;559;;POINT (611474.59 7797154.27);;
